treatment_groups_descriptive_v1_run_id	treatment_group_v1	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260414T215230Z	mixed_multi_type	histological_type	categorical_top_value	355	355	0	6	6	Metaplastic Carcinoma	2	0.0056				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	age_at_diagnosis	numeric_summary	2	2	0	2					46	48	50	Age summary uses non-missing values only.
20260414T215230Z	missing_type_only	er_status_by_ihc	categorical_top_value	2	2	0	1	1	Positive	2	1.0000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	pr_status_by_ihc	categorical_top_value	2	2	0	1	1	Positive	2	1.0000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	her2_status_by_ihc	categorical_top_value	2	2	0	2	1	Negative	1	0.5000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	her2_status_by_ihc	categorical_top_value	2	2	0	2	2	Positive	1	0.5000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	ajcc_pathologic_tumor_stage	categorical_top_value	2	2	0	2	1	Stage I	1	0.5000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	ajcc_pathologic_tumor_stage	categorical_top_value	2	2	0	2	2	Stage IIB	1	0.5000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	histological_type	categorical_top_value	2	2	0	2	1	Infiltrating Ductal Carcinoma	1	0.5000				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	missing_type_only	histological_type	categorical_top_value	2	2	0	2	2	Infiltrating Lobular Carcinoma	1	0.5000				Showing all distinct non-missing values for this field within the provisional group.
